Yaeger's Shoes,yaegershoes.com,2,2800000,Footwear,2 locations Monroe MI and Toledo OH. Family shoe store since 1846. 2 × 2000sqft × $700 × 1.0.
Stellar Sports Yard Signs,stellarsportsusa.com,0,,Yard signs,Online-only. Custom sports yard signs. No physical retail.
Jed North Canada,www.jednorth.ca,0,,Fitness apparel,Online-only. Gym and bodybuilding apparel. Toronto HQ. No physical retail.
Gray Bearded Green Beret,graybeardedgreenberet.com,0,,Survival gear,Online-only. Bushcraft survival tactical gear. No physical retail.
O-Shot Women Official Store,oshotstore.myshopify.com,0,,Medical/wellness,Online-only Shopify. O-Shot related products. No physical retail.
Wisteria Chile,wisteria.cl,0,,Unknown,No brand-owned retail locations found. wisteria.cl not documented in search.
Manatee Viewing Center,manatee-viewing-center.myshopify.com,0,,Gift shop,Tampa Electric facility. Shopify store coming soon. No brand-owned retail storefront.
ACTCOMINC,actcominc.com,0,,Unknown,actcominc.com not found in search. No brand-owned retail documented.
Jersey Italian Gravy,jerseyitaliangravy.com,0,,Food/Sauce,Sells through website Amazon Whole Foods. No brand-owned retail.
FORM Australia,au.formswim.com,0,,Swim tech,Online-only. Smart swim goggles. Sells through retailers. No brand-owned retail.
KATANA Lab Direct,katanalabdirect.com,0,,Dental supplies,PROHIBITED: B2B dental zirconia to labs. Wholesale-only to dental professionals.
Maysfield Appliance,www.maysfieldappliance.ca,1,1050000,Appliances,1 location 4507 82 Ave Edmonton AB. Appliance sales and repair. Standard 2000sqft × $525 × 1.0.
TheBookBundler,www.thebookbundler.com,0,,Books,Online-only. Bulk used books and bundles. No physical retail.
The Zesty Lemon Clothing Co,thezestylemonclothing.com,1,1050000,Women's apparel,1 location 430 East Columbia St New Westminster BC. Women's clothing boutique. Standard 2000sqft × $700 × 1.0.
NewGel+,newgelplus.com,0,,Medical/skincare,Online-only. Silicone scar treatment. No physical retail.
Jeans Warehouse Kauai,kauai.jeanswarehousehawaii.com,1,1400000,Apparel,1 location 301 Ala Malama Ave Kaunakakai Kauai HI. Junior fashion. Standard 2000sqft × $700 × 1.0.
ROCKBROS-EU,rockbrosbike.de,0,,Cycling gear,Online-only. Bicycle accessories. EU market. No physical retail.
The Turquoise Door Boutique LLC,theturquoisedoorboutiqueoh.com,1,1050000,Women's apparel,1 location 104 W Main St Coldwater OH. Women's and children's clothing. Standard 2000sqft × $700 × 1.0.
Shroom Sips,www.tryshroomsips.com,0,,Supplements,Online-only. Mushroom gummy supplements. Not cannabis. No physical retail.
Champagne Carbon USA,carbonchampagnes.com,0,,Champagne,Online-only. Luxury champagne. No physical retail.
Rhythmic Rentals,www.rhythmicrentals.com,0,,Dance dress rental,Online-only. Ballroom dress rentals and sales. No physical retail.
Vice Hardware,vicehardware.com,0,,EDC accessories,Online-only. Premium wallets and EDC. No physical retail.
L7 Case,l7case.com,0,,Mobile POS,Online-only. iPhone Square reader cases. No physical retail.
My Medic Training + Response,www.mymedictr.org,0,,First aid,Nonprofit. Sells first aid kits at mymedic.com. No brand-owned retail.
NationwideSafes.com,nationwidesafes.com,0,,Safes,PROHIBITED: Sells gun safes. Firearms-related.
Mitzvahland.com,www.mitzvahland.com,1,787500,Judaica,1 location 16733 Ventura Blvd Encino CA. Judaica gifts since 1996. Boutique 1500sqft × $525 × 1.0.
EVITA.J Flowers Bunch,flowersevita.com,0,,Florist,Online-only florist Melbourne. Same-day delivery. No physical retail storefront.
Composite Deck Direct,compositedeckdirect.com,0,,Decking,Online-only. Composite decking. Showroom at Improve Canada is partner space not brand-owned.
Las Vegas Big Game Party,lasvegasbiggameparty.com,0,,Event venue,Sports viewing party at Westgate. Event not retail. No brand-owned retail. Not operating 2025.
USdealer,www.usdealerplate.com,0,,Dealer plates,Online-only. Temporary license plate services. No physical retail.
